"tempo","municipioibge","municipio","nome_regiao","Populacao","caso","tx_incid","obito","tx_mort","letalidade","IDSC","IDSC_3","gini","IVS","IVS_C","IVS_R","IVS_I","IDHM","IDHM_E","IDHM_R","IDHM_L","dens_dem","PIB","TOE","TMI","TxL","percentual_vacinados","percentual_idosos","longitude","latitude","ano_semana","tx_incid_padronizada","tx_mort_padronizada","obitos_esperados"
159,"1700707","Alvorada","Ilha do Bananal",8381,1,11.93,0,0,0,44.907,69.716,0.4734,0.246,0.399,0.292,0.048,0.708,0.623,0.677,0.843,7.29,56569.78,46.45,7.52,2.74,100,0,-49.1117736969994,-12.4074711081056,"2023-13",46.2107208872458,0,0
159,"1701002","Ananás","Bico do Papagaio",9435,1,10.6,0,0,0,45.091,72.889,0.4849,0.38,0.447,0.368,0.325,0.671,0.605,0.621,0.804,6.53,16933.69,49.52,0,1.47,0,0,-48.186653474132,-6.23267359873292,"2023-13",61.1620795107034,0,0
159,"1701903","Araguacema","Cantão",7223,3,41.53,0,0,0,40.656,62.802,0.5704,0.396,0.486,0.497,0.205,0.639,0.553,0.587,0.805,2.14,33261.2,27.95,12.35,2.38,66.67,33.33,-49.50547119988,-8.93904820830198,"2023-13",57.4083687718784,0,0
159,"1702000","Araguaçu","Ilha do Bananal",8418,6,71.28,1,11.88,16.67,43.074,66.298,0.512,0.329,0.366,0.473,0.149,0.675,0.602,0.642,0.796,1.58,41464.68,37.79,20.41,3.19,85.71,33.33,-49.6964447976575,-12.8398983309106,"2023-13",134.031161060878,9,13
159,"1702109","Araguaína","Médio Norte Araguaia",186245,11,5.91,0,0,0,46.535,66.536,0.574,0.243,0.301,0.283,0.146,0.752,0.712,0.727,0.821,42.78,28129.89,38.01,9.39,3.21,72.73,9.09,-48.587751762626,-7.33141243865293,"2023-13",6.1346754827847,0,0
159,"1702208","Araguatins","Bico do Papagaio",36573,1,2.73,0,0,0,37.685,69.341,0.5738,0.448,0.531,0.465,0.349,0.631,0.525,0.604,0.793,12.12,14472.16,38.43,7.81,0.69,0,0,-48.1048657956088,-5.66580000529645,"2023-13",12.8766417718259,0,0
159,"1702406","Arraias","Sudeste",10502,1,9.52,0,0,0,39.651,70.689,0.6146,0.39,0.463,0.51,0.198,0.651,0.523,0.636,0.829,1.77,21263.55,36.07,7.25,3.13,100,100,-47.0476435326132,-12.8170832527445,"2023-13",127.226463104326,0,0
159,"1702554","Augustinópolis","Bico do Papagaio",18870,1,5.3,0,0,0,41.389,63.911,0.5309,0.406,0.51,0.439,0.268,0.67,0.619,0.614,0.793,44.97,16169.5,34.87,9.2,4.99,0,0,-47.9281612927648,-5.49781305894326,"2023-13",15.2671755725191,0,0
159,"1703107","Barrolândia","Cantão",5669,1,17.64,0,0,0,39.09,65.197,0.4792,0.341,0.477,0.425,0.121,0.642,0.541,0.6,0.817,6.95,21523.42,33.62,0,0,0,0,-48.7911861351632,-9.86576999526966,"2023-13",55.7724484104852,0,0
159,"1703701","Brejinho de Nazaré","Amor Perfeito",5540,6,108.3,0,0,0,39.217,63.84,0.5613,0.383,0.473,0.503,0.174,0.686,0.619,0.635,0.82,2.74,49268.03,54.36,0,0.91,100,33.33,-48.6241372377051,-11.0292125707983,"2023-13",140.272222308056,0,0
