"ano_semana","tempo","caso","obito","tx_incid","tx_mort","letalidade"
"2020-12",1,13,0,32.9,0,0
"2020-13",2,11,0,84.9,0,0
"2020-14",3,19,0,168.32,0,0
"2020-15",4,21,0,68.82,0,0
"2020-16",5,16,1,84.75,0.32,14.29
"2020-17",6,46,0,125.63,0,0
"2020-18",7,207,4,765.57,22.07,168.89
"2020-19",8,479,6,2393.15,28.77,182.13
"2020-20",9,843,21,4182.38,63.94,129.04
"2020-21",10,1243,23,6475.32,132.57,179.98
"2020-22",11,1503,21,7373.15,92.05,117.46
"2020-23",12,1616,27,8324.8,242.88,439.85
"2020-24",13,1471,36,7847.56,188.03,206.96
"2020-25",14,1378,41,6763.82,227.05,412.13
"2020-26",15,1958,20,10305.89,171.7,232.38
"2020-27",16,2239,26,10719.85,108.91,155.94
"2020-28",17,2789,39,16377.17,310.85,263.03
"2020-29",18,3250,57,17377.03,490.13,631.11
"2020-30",19,4055,50,22554.21,438.27,354.05
"2020-31",20,4927,56,30693.61,404.75,301.76
"2020-32",21,5332,80,32319.19,523.04,274.87
"2020-33",22,6260,63,34337.18,379.4,162.81
"2020-34",23,5953,106,33301.51,738.72,377.2
"2020-35",24,5415,81,36702.18,389.55,185.51
"2020-36",25,5039,82,33265.94,479.43,278.49
"2020-37",26,3392,70,21720.13,426.46,436.63
"2020-38",27,3363,61,23295.04,425.44,402.32
"2020-39",28,3094,45,23225.9,380.79,437.77
"2020-40",29,2320,39,17801.16,313.43,301.32
"2020-41",30,1601,35,12112.76,189.87,182.86
"2020-42",31,1348,26,9639.3,182.89,485.62
"2020-43",32,1356,17,11046.33,108.61,326.35
"2020-44",33,1288,11,10135.38,27.34,73.16
"2020-45",34,1064,22,7731.81,114.37,217.21
"2020-46",35,1157,18,5863.24,159.2,518.14
"2020-47",36,1661,8,10635.18,75.98,53
"2020-48",37,1990,15,16116.25,140.24,336.17
"2020-49",38,2211,8,17363.2,68.01,111.55
"2020-50",39,1937,13,13579.32,119.13,209.35
"2020-51",40,2100,20,13676.92,140.54,99.09
"2020-52",41,1576,17,9301.87,92.37,205.42
"2020-53",42,1620,17,8843.65,170.89,305.56
"2021-1",43,2836,29,17230.3,249.2,219.1
"2021-2",44,3288,40,23423.12,354.55,434.29
"2021-3",45,2933,41,19728.83,265.16,552.73
"2021-4",46,2655,50,18776.43,432.16,694.63
