      geojson_correto       |       covid_errado       
----------------------------+--------------------------
 Abreulandia                | 
 Aguiarnopolis              | 
 Alianca do Tocantins       | 
 Ananas                     | 
 Araguacu                   | 
 Araguaina                  | 
 Augustinopolis             | Augustinópolis
 Axixa do Tocantins         | 
 Babaculandia               | 
 Barrolandia                | 
 Bernardo Sayao             | Bernardo Sayão
 Brasilandia do Tocantins   | 
 Brejinho de Nazare         | Brejinho de Nazaré
 Carmolandia                | 
 Centenario                 | 
 Colmeia                    | 
 Conceicao do Tocantins     | 
 Couto Magalhaes            | Couto Magalhães
 Cristalandia               | 
 Crixas do Tocantins        | 
 Darcinopolis               | 
 Dianopolis                 | 
 Divinopolis do Tocantins   | 
 Dois Irmaos do Tocantins   | Dois Irmãos do Tocantins
 Duere                      | 
 Fatima                     | 
 Figueiropolis              | 
 Filadelfia                 | 
 Fortaleza do Tabocao       | Fortaleza do Tabocão
 Guarai                     | 
 Itacaja                    | 
 Itapora do Tocantins       | 
 Jau do Tocantins           | 
 Lagoa da Confusao          | Lagoa da Confusão
 Luzinopolis                | 
 Marianopolis do Tocantins  | 
 Maurilandia do Tocantins   | 
 Muricilandia               | 
 Nazare                     | 
 Nova Rosalandia            | Nova Rosalândia
 Oliveira de Fatima         | Oliveira de Fátima
 Palmeiropolis              | 
 Paraiso do Tocantins       | 
 Parana                     | 
 Pau D'Arco                 | 
 Piraque                    | 
 Recursolandia              | Recursolândia
 Rio da Conceicao           | Rio da Conceição
 Sandolandia                | 
 Santa Fe do Araguaia       | 
 Sao Bento do Tocantins     | 
 Sao Felix do Tocantins     | 
 Sao Miguel do Tocantins    | 
 Sao Salvador do Tocantins  | 
 Sao Sebastiao do Tocantins | 
 Sao Valerio                | 
 Silvanopolis               | 
 Sitio Novo do Tocantins    | 
 Talisma                    | 
 Tocantinia                 | Tocantinópolis
 Tocantinopolis             | Tocantinópolis
 Wanderlandia               | 
 Xambioa                    | 
(63 rows)

